,lane,x,y,yaw,width
0,-2,109.92987823486328,-9.334196090698242,-89.6092529296875,3.5
1,-1,106.42996215820312,-9.358065605163574,-89.6092529296875,3.5
2,1,102.93003845214844,-9.38193416595459,90.3907470703125,3.5
3,2,99.43012237548828,-9.405803680419922,90.3907470703125,3.5
4,-2,109.93666076660156,-10.336318969726562,-89.63265991210938,3.5
5,-1,106.43672943115234,-10.358757972717285,-89.63265991210938,3.5
6,1,102.93680572509766,-10.381196022033691,90.36734008789062,3.5
7,2,99.43687438964844,-10.403635025024414,90.36734008789062,3.5
8,-2,109.94214630126953,-11.346802711486816,-89.74725341796875,3.5
9,-1,106.44218444824219,-11.362241744995117,-89.74725341796875,3.5
10,1,102.94221496582031,-11.377681732177734,90.25274658203125,3.5
11,2,99.44225311279297,-11.393120765686035,90.25274658203125,3.5
12,-2,109.94557189941406,-12.35729694366455,-89.86184692382812,3.5
13,-1,106.4455795288086,-12.36573600769043,-89.86184692382812,3.5
14,1,102.94559478759766,-12.374176025390625,90.13815307617188,3.5
15,2,99.44560241699219,-12.382615089416504,90.13815307617188,3.5
16,-2,109.947021484375,-13.367796897888184,-89.9764404296875,3.5
17,-1,106.447021484375,-13.36923599243164,-89.9764404296875,3.5
18,1,102.947021484375,-13.370674133300781,90.0235595703125,3.5
19,2,99.447021484375,-13.372113227844238,90.0235595703125,3.5
20,-2,109.94640350341797,-14.3782958984375,-90.09103393554688,3.5
21,-1,106.4464111328125,-14.372735023498535,-90.09103393554688,3.5
22,1,102.9464111328125,-14.367173194885254,89.90896606445312,3.5
23,2,99.44641876220703,-14.361612319946289,89.90896606445312,3.5
24,-2,109.94380187988281,-15.38857650756836,-90.2032699584961,3.5
25,-1,106.4438247680664,-15.376158714294434,-90.2032699584961,3.5
26,1,102.94384002685547,-15.363741874694824,89.7967300415039,3.5
27,2,99.44386291503906,-15.351324081420898,89.7967300415039,3.5
28,-2,109.94044494628906,-16.383445739746094,269.8526306152344,3.5
29,-1,106.4404525756836,-16.37444496154785,269.8526306152344,3.5
30,1,102.94046783447266,-16.365446090698242,449.8526306152344,3.5
31,2,99.44047546386719,-16.3564453125,449.8526306152344,3.5
32,-2,109.93930053710938,-17.36873435974121,270.01318359375,3.5
33,-1,106.43930053710938,-17.36954116821289,270.01318359375,3.5
34,1,102.93930053710938,-17.370346069335938,450.01318359375,3.5
35,2,99.43930053710938,-17.371152877807617,450.01318359375,3.5
