,lane,x,y,yaw,width
32,-1,-415.24493408203125,225.4100341796875,-121.70142364501953,3.5
33,1,-418.22271728515625,227.249267578125,58.29857635498047,3.5
34,-1,-415.7704162597656,224.55923461914062,-121.70142364501953,3.5
35,1,-418.7481994628906,226.39846801757812,58.29857635498047,3.5
36,-1,-416.2958984375,223.70843505859375,-121.70142364501953,3.5
37,1,-419.273681640625,225.54766845703125,58.29857635498047,3.5
38,-1,-416.8214111328125,222.85763549804688,-121.70142364501953,3.5
39,1,-419.7991943359375,224.69686889648438,58.29857635498047,3.5
40,-1,-417.3468933105469,222.0068359375,-121.70142364501953,3.5
41,1,-420.3246765136719,223.8460693359375,58.29857635498047,3.5
42,-1,-417.87237548828125,221.15603637695312,-121.70142364501953,3.5
43,1,-420.85015869140625,222.99526977539062,58.29857635498047,3.5
44,-1,-418.39788818359375,220.30523681640625,-121.70142364501953,3.5
45,1,-421.37567138671875,222.14447021484375,58.29857635498047,3.5
46,-1,-418.9233703613281,219.45443725585938,-121.70142364501953,3.5
47,1,-421.9011535644531,221.29367065429688,58.29857635498047,3.5
48,-1,-419.4488525390625,218.6036376953125,-121.70142364501953,3.5
49,1,-422.4266357421875,220.44287109375,58.29857635498047,3.5
50,-1,-419.974365234375,217.7528533935547,-121.70142364501953,3.5
51,1,-422.9521484375,219.5920867919922,58.29857635498047,3.5
52,-1,-420.4998474121094,216.9020538330078,-121.70142364501953,3.5
53,1,-423.4776306152344,218.7412872314453,58.29857635498047,3.5
54,-1,-421.0253601074219,216.05125427246094,-121.70142364501953,3.5
55,1,-424.0031433105469,217.89048767089844,58.29857635498047,3.5
56,-1,-421.55084228515625,215.20045471191406,-121.70142364501953,3.5
57,1,-424.52862548828125,217.03968811035156,58.29857635498047,3.5
58,-1,-422.0763244628906,214.3496551513672,-121.70142364501953,3.5
59,1,-425.0541076660156,216.1888885498047,58.29857635498047,3.5
60,-1,-422.6018371582031,213.4988555908203,-121.70142364501953,3.5
61,1,-425.5796203613281,215.3380889892578,58.29857635498047,3.5
62,-1,-423.1273193359375,212.64805603027344,-121.70142364501953,3.5
63,1,-426.1051025390625,214.48728942871094,58.29857635498047,3.5
64,-1,-423.6528015136719,211.79725646972656,-121.70142364501953,3.5
65,1,-426.6305847167969,213.63648986816406,58.29857635498047,3.5
66,-1,-424.1783142089844,210.94647216796875,-121.70142364501953,3.5
67,1,-427.1560974121094,212.78570556640625,58.29857635498047,3.5
68,-1,-424.70379638671875,210.09567260742188,-121.70142364501953,3.5
69,1,-427.68157958984375,211.93490600585938,58.29857635498047,3.5
70,-1,-425.2292785644531,209.244873046875,-121.70142364501953,3.5
71,1,-428.2070617675781,211.0841064453125,58.29857635498047,3.5
72,-1,-425.7547912597656,208.39407348632812,-121.70142364501953,3.5
73,1,-428.7325744628906,210.23330688476562,58.29857635498047,3.5
74,-1,-426.2802734375,207.54327392578125,-121.70142364501953,3.5
75,1,-429.258056640625,209.38250732421875,58.29857635498047,3.5
76,-1,-426.8057556152344,206.69247436523438,-121.70142364501953,3.5
77,1,-429.7835388183594,208.53170776367188,58.29857635498047,3.5
78,-1,-427.3312683105469,205.8416748046875,-121.70142364501953,3.5
79,1,-430.3090515136719,207.680908203125,58.29857635498047,3.5
80,-1,-427.85675048828125,204.99087524414062,-121.70142364501953,3.5
81,1,-430.83453369140625,206.83010864257812,58.29857635498047,3.5
